NODE,Si
12669,0.1906
12670,0.4553
12671,0.5214
12672,0.5917
12673,0.2487
12674,0.029
12675,0.0226
12676,0.0264
12677,0.1112
12678,0.0908
12679,0.069
12680,0.0485
12681,0.032
12682,0.0207
12683,0.0169
12684,0.0123
12717,0.0318
12718,0.0509
12719,0.0747
12720,0.1546
12721,0.1788
12722,0.2732
12723,0.3677
12724,0.3941
12725,0.3865
12726,0.3788
12727,0.1723
12728,0.0227
12729,0.0269
12730,0.0411
12731,0.0639
12732,0.0653
12733,0.0776
12734,0.0324
12735,0.0236
12736,0.0191
12737,0.0249
12738,0.01
12739,0.0063
12740,0.0055
12777,0.0189
12778,0.025
12779,0.0313
12780,0.0355
12781,0.0401
12782,0.0467
12783,0.0507
12784,0.0685
12785,0.1266
12786,0.5411
12787,0.4956
12788,0.5136
12789,0.2092
12790,0.0131
12791,0.0201
12792,0.0274
12793,0.028
12794,0.0256
12795,0.0312
12796,0.0372
12797,0.1396
12798,0.1252
12799,0.1131
12800,0.086
12801,0.0544
12802,0.0364
12803,0.0362
12804,0.0352
12805,0.0305
12806,0.0233
12841,0.0268
12842,0.0272
12843,0.0269
12844,0.0431
12845,0.068
12846,0.1085
12847,0.1646
12848,0.2094
12849,0.237
12850,0.2331
12851,0.2004
12852,0.1454
12853,0.0935
12854,0.012
12855,0.0081
12856,0.1155
12857,0.1121
12858,0.1289
12859,0.2691
12860,0.2709
12861,0.2841
12862,0.0865
12863,0.0768
12864,0.0663
12865,0.0558
12866,0.0453
12867,0.0352
12868,0.0245
12905,0.0116
12906,0.015
12907,0.0176
12908,0.0228
12909,0.0253
12910,0.0267
12911,0.0274
12912,0.0328
12913,0.0555
12914,0.2548
12915,0.2559
12916,0.3484
12917,0.0369
12918,0.0965
12919,0.0966
12920,0.1255
12921,0.2407
12922,0.2193
12923,0.2178
12924,0.1218
12925,0.0963
12926,0.0678
12927,0.0517
12928,0.0397
12961,0.0214
12962,0.0274
12963,0.032
12964,0.0441
12965,0.0655
12966,0.1613
12967,0.1986
12968,0.2093
12969,0.2038
12970,0.1981
12971,0.037
12972,0.0918
12973,0.07
12974,0.0765
12975,0.1816
12976,0.1612
12977,0.221
12978,0.1068
12979,0.1095
12980,0.0442
12981,0.0378
12982,0.0383
12983,0.0311
12984,0.0201
13021,0.0095
13022,0.0146
13023,0.0168
13024,0.0151
13025,0.0141
13026,0.0173
13027,0.0206
13028,0.0306
13029,0.0637
13030,0.2885
13031,0.2768
13032,0.309
13033,0.065
13034,0.0933
13035,0.0724
13036,0.0845
13037,0.3595
13038,0.296
13039,0.2306
13040,0.1792
13041,0.1364
13042,0.0925
13043,0.0662
13044,0.0453
13077,0.0187
13078,0.027
13079,0.0377
13080,0.0579
13081,0.0856
13082,0.1281
13083,0.1602
13084,0.2183
13085,0.2063
13086,0.1976
13087,0.0371
13088,0.0948
13089,0.0927
13090,0.1177
13091,0.1815
13092,0.2551
13093,0.3041
13094,0.1673
13095,0.157
13096,0.0516
13097,0.0433
13098,0.0407
13099,0.0313
13100,0.0198
13137,0.0074
13138,0.0121
13139,0.0147
13140,0.0142
13141,0.013
13142,0.0158
13143,0.0209
13144,0.0456
13145,0.0788
13146,0.2755
13147,0.2737
13148,0.2421
13149,0.0649
13150,0.1158
13151,0.1174
13152,0.1607
13153,0.3386
13154,0.2995
13155,0.2602
13156,0.1002
13157,0.0795
13158,0.0571
13159,0.0522
13160,0.0455
13193,0.0207
13194,0.0254
13195,0.0275
13196,0.038
13197,0.0516
13198,0.1741
13199,0.2076
13200,0.2315
13201,0.2438
13202,0.2117
13203,0.0372
13204,0.0728
13205,0.0863
13206,0.1341
13207,0.2831
13208,0.2858
13209,0.2718
13210,0.2471
13211,0.1718
13212,0.096
13213,0.1081
13214,0.0404
13215,0.0325
13216,0.0268
13253,0.0124
13254,0.0128
13255,0.0127
13256,0.014
13257,0.0172
13258,0.0255
13259,0.0321
13260,0.0671
13261,0.1317
13262,0.2136
13263,0.2747
13264,0.2497
13265,0.0962
13266,0.1123
13267,0.1146
13268,0.1479
13269,0.2007
13270,0.2508
13271,0.404
13272,0.0734
13273,0.0531
13274,0.0494
13275,0.0458
13276,0.0389
13309,0.0215
13310,0.0283
13311,0.0332
13312,0.04
13313,0.048
13314,0.1436
13315,0.1585
13316,0.252
13317,0.2393
13318,0.203
13319,0.0394
13320,0.0731
13321,0.0866
13322,0.1346
13323,0.2866
13324,0.2864
13325,0.2721
13326,0.2465
13327,0.1706
13328,0.0973
13329,0.108
13330,0.0411
13331,0.0327
13332,0.027
13369,0.0122
13370,0.0121
13371,0.0112
13372,0.0132
13373,0.015
13374,0.02
13375,0.0253
13376,0.0429
13377,0.0912
13378,0.2628
13379,0.2795
13380,0.25
13381,0.0961
13382,0.1123
13383,0.1146
13384,0.1478
13385,0.2007
13386,0.2508
13387,0.404
13388,0.0733
13389,0.053
13390,0.0493
13391,0.0458
13392,0.0389
13425,0.0215
13426,0.0284
13427,0.0332
13428,0.0401
13429,0.0481
13430,0.1436
13431,0.1585
13432,0.252
13433,0.2393
13434,0.203
13435,0.0394
13436,0.0728
13437,0.0863
13438,0.1342
13439,0.2833
13440,0.286
13441,0.2719
13442,0.2473
13443,0.1718
13444,0.096
13445,0.108
13446,0.0403
13447,0.0324
13448,0.0268
13485,0.0123
13486,0.0128
13487,0.0127
13488,0.014
13489,0.0172
13490,0.0256
13491,0.0321
13492,0.0671
13493,0.1317
13494,0.2135
13495,0.2747
13496,0.2498
13497,0.0964
13498,0.1112
13499,0.1083
13500,0.1528
13501,0.3264
13502,0.3434
13503,0.374
13504,0.0731
13505,0.0526
13506,0.0486
13507,0.0449
13508,0.0386
13541,0.0219
13542,0.0287
13543,0.0335
13544,0.04
13545,0.0494
13546,0.1683
13547,0.1991
13548,0.2241
13549,0.2361
13550,0.2032
13551,0.0392
13552,0.0728
13553,0.0864
13554,0.1342
13555,0.2833
13556,0.286
13557,0.272
13558,0.2473
13559,0.1718
13560,0.096
13561,0.108
13562,0.0403
13563,0.0324
13564,0.0268
13601,0.0124
13602,0.0128
13603,0.0127
13604,0.014
13605,0.0173
13606,0.0256
13607,0.0321
13608,0.0671
13609,0.1318
13610,0.2136
13611,0.2747
13612,0.2498
13613,0.0963
13614,0.1123
13615,0.1147
13616,0.1479
13617,0.2006
13618,0.2509
13619,0.4028
13620,0.0725
13621,0.0523
13622,0.0486
13623,0.0452
13624,0.0385
13657,0.0216
13658,0.0283
13659,0.0332
13660,0.04
13661,0.0481
13662,0.1436
13663,0.1585
13664,0.252
13665,0.2393
13666,0.203
13667,0.0394
13668,0.0741
13669,0.0881
13670,0.1327
13671,0.2812
13672,0.2871
13673,0.2742
13674,0.2493
13675,0.1718
13676,0.0954
13677,0.1045
13678,0.0332
13679,0.0245
13680,0.0213
13717,0.0125
13718,0.013
13719,0.0129
13720,0.0142
13721,0.0172
13722,0.025
13723,0.032
13724,0.0662
13725,0.1301
13726,0.211
13727,0.2735
13728,0.2506
13729,0.0976
13730,0.1365
13731,0.1588
13732,0.2352
13733,0.2716
13734,0.2859
13735,0.295
13736,0.1106
13737,0.0655
13738,0.0562
13739,0.0442
13740,0.0332
13773,0.0216
13774,0.0283
13775,0.0332
13776,0.0401
13777,0.0481
13778,0.1436
13779,0.1585
13780,0.252
13781,0.2393
13782,0.203
13783,0.0394
13784,0.0734
13785,0.0916
13786,0.1258
13787,0.1988
13788,0.1889
13789,0.274
13790,0.2445
13791,0.1717
13792,0.096
13793,0.1086
13794,0.0404
13795,0.0325
13796,0.0268
13833,0.0124
13834,0.0128
13835,0.0127
13836,0.014
13837,0.0173
13838,0.0256
13839,0.0321
13840,0.0671
13841,0.1318
13842,0.2136
13843,0.2747
13844,0.2498
13845,0.0963
13846,0.1371
13847,0.1595
13848,0.2347
13849,0.2718
13850,0.2846
13851,0.2914
13852,0.1093
13853,0.0661
13854,0.0568
13855,0.0448
13856,0.0335
13889,0.0215
13890,0.0277
13891,0.0329
13892,0.0398
13893,0.0484
13894,0.1464
13895,0.1591
13896,0.252
13897,0.2398
13898,0.203
13899,0.0394
13900,0.0727
13901,0.0903
13902,0.1247
13903,0.2651
13904,0.2813
13905,0.2708
13906,0.2467
13907,0.1717
13908,0.096
13909,0.1079
13910,0.0403
13911,0.0325
13912,0.0268
13949,0.0124
13950,0.0128
13951,0.0127
13952,0.014
13953,0.0173
13954,0.0256
13955,0.0321
13956,0.0671
13957,0.1318
13958,0.2136
13959,0.2747
13960,0.2498
13961,0.0963
13962,0.1366
13963,0.1589
13964,0.2354
13965,0.2713
13966,0.2851
13967,0.2946
13968,0.1106
13969,0.0656
13970,0.0562
13971,0.0442
13972,0.0332
14005,0.0216
14006,0.0283
14007,0.0332
14008,0.0401
14009,0.0481
14010,0.1436
14011,0.1585
14012,0.252
14013,0.2393
14014,0.203
14015,0.0394
14016,0.0734
14017,0.0916
14018,0.1258
14019,0.1988
14020,0.1889
14021,0.2741
14022,0.2445
14023,0.1717
14024,0.096
14025,0.1086
14026,0.0404
14027,0.0325
14028,0.0268
14065,0.0124
14066,0.0128
14067,0.0127
14068,0.014
14069,0.0172
14070,0.0256
14071,0.0321
14072,0.0671
14073,0.1317
14074,0.2135
14075,0.2747
14076,0.2498
14077,0.0964
14078,0.1328
14079,0.119
14080,0.1766
14081,0.3193
14082,0.2921
14083,0.3005
14084,0.1109
14085,0.0654
14086,0.0558
14087,0.0435
14088,0.0329
14121,0.0219
14122,0.0287
14123,0.0335
14124,0.04
14125,0.0494
14126,0.1683
14127,0.1991
14128,0.224
14129,0.2361
14130,0.2032
14131,0.0392
14132,0.0739
14133,0.092
14134,0.1232
14135,0.2628
14136,0.282
14137,0.2733
14138,0.2494
14139,0.1719
14140,0.0955
14141,0.105
14142,0.0332
14143,0.0245
14144,0.0213
14181,0.0125
14182,0.013
14183,0.0129
14184,0.0142
14185,0.0172
14186,0.025
14187,0.032
14188,0.0662
14189,0.1301
14190,0.211
14191,0.2735
14192,0.2506
14193,0.0976
14194,0.1373
14195,0.1592
14196,0.2354
14197,0.2723
14198,0.2872
14199,0.2981
14200,0.1135
14201,0.0621
14202,0.0472
14203,0.0422
14204,0.036
14237,0.0215
14238,0.0283
14239,0.0332
14240,0.04
14241,0.048
14242,0.1436
14243,0.1585
14244,0.252
14245,0.2393
14246,0.203
14247,0.0394
14248,0.0719
14249,0.0986
14250,0.1476
14251,0.1813
14252,0.2076
14253,0.2102
14254,0.2177
14255,0.1801
14256,0.1268
14257,0.1291
14258,0.0414
14259,0.0327
14260,0.027
14297,0.0122
14298,0.012
14299,0.0112
14300,0.0132
14301,0.015
14302,0.02
14303,0.0253
14304,0.0429
14305,0.0912
14306,0.2628
14307,0.2795
14308,0.25
14309,0.0961
14310,0.1366
14311,0.1589
14312,0.2354
14313,0.2713
14314,0.2851
14315,0.2946
14316,0.1106
14317,0.0656
14318,0.0562
14319,0.0442
14320,0.0332
14353,0.0215
14354,0.0283
14355,0.0332
14356,0.04
14357,0.048
14358,0.1435
14359,0.1585
14360,0.252
14361,0.2393
14362,0.203
14363,0.0394
14364,0.0734
14365,0.0916
14366,0.1258
14367,0.1988
14368,0.1889
14369,0.274
14370,0.2445
14371,0.1717
14372,0.0961
14373,0.1086
14374,0.0404
14375,0.0325
14376,0.0268
14413,0.0124
14414,0.0128
14415,0.0127
14416,0.014
14417,0.0173
14418,0.0256
14419,0.0321
14420,0.0671
14421,0.1318
14422,0.2136
14423,0.2747
