NODE ,X [m],Y [m],Z [m]
11327,0.570,-2.219,-0.046
11328,0.520,-2.024,-0.042
11329,0.451,-1.757,-0.037
11330,0.360,-1.403,-0.029
11331,0.269,-1.049,-0.022
11332,0.188,-0.734,-0.015
11333,0.108,-0.419,-0.009
11334,0.054,-0.210,-0.004
11335,-0.258,0.000,-0.004
11336,-0.471,-0.174,-0.012
11337,-0.427,-0.349,-0.016
11338,-0.366,-0.585,-0.021
11339,-0.305,-0.822,-0.026
11340,-0.223,-1.144,-0.032
11341,-0.140,-1.466,-0.039
11342,-0.071,-1.732,-0.044
11343,-0.003,-1.999,-0.050
11344,0.036,-2.150,-0.053
11345,0.075,-2.301,-0.056
11346,0.110,-2.441,-0.059
11347,-0.039,0.152,-0.004
11348,-0.078,0.305,-0.009
11349,-0.119,0.465,-0.014
11350,-0.178,0.696,-0.020
11351,-0.275,1.076,-0.031
11352,-0.373,1.456,-0.042
11353,-0.447,1.746,-0.051
11354,-0.521,2.036,-0.059
11355,-0.561,2.192,-0.064
11356,-0.601,2.348,-0.068
11357,-0.624,2.439,-0.071
11358,-0.779,2.531,-0.076
11359,-0.911,2.531,-0.078
11360,-1.038,2.531,-0.080
11361,-1.142,2.445,-0.080
11362,-1.111,2.323,-0.076
11363,-1.075,2.183,-0.072
11364,-1.039,2.043,-0.068
11365,-0.980,1.814,-0.061
11366,-0.922,1.585,-0.055
11367,-0.848,1.295,-0.046
11368,-0.773,1.005,-0.038
11369,-0.701,0.722,-0.029
11370,-0.629,0.440,-0.021
11371,-0.582,0.258,-0.016
11492,1.590,-0.162,0.022
11493,1.632,-0.324,0.018
11494,1.686,-0.537,0.014
11495,1.741,-0.750,0.009
11496,1.841,-1.140,0.001
11497,1.942,-1.530,-0.007
11498,2.005,-1.779,-0.012
11499,2.069,-2.028,-0.017
11500,2.106,-2.171,-0.020
11501,2.143,-2.315,-0.023
11502,2.174,-2.434,-0.026
11535,0.926,2.431,-0.046
11536,0.952,2.332,-0.043
11537,0.976,2.238,-0.040
11538,1.015,2.084,-0.036
11539,1.065,1.890,-0.030
11540,1.115,1.696,-0.024
11541,1.199,1.365,-0.015
11542,1.284,1.034,-0.005
11543,1.362,0.728,0.004
11544,1.441,0.422,0.013
11545,1.495,0.211,0.019
11546,3.140,-0.166,0.047
11547,3.182,-0.332,0.043
11548,3.228,-0.508,0.040
11549,3.300,-0.789,0.034
11550,3.372,-1.070,0.028
11551,3.451,-1.379,0.021
11552,3.517,-1.636,0.016
11553,3.583,-1.893,0.011
11554,3.617,-2.025,0.008
11555,3.652,-2.160,0.005
11556,3.683,-2.281,0.003
11557,3.705,-2.367,0.001
11558,3.726,-2.450,-0.001
11595,2.466,2.465,-0.022
11596,2.483,2.399,-0.020
11597,2.504,2.317,-0.017
11598,2.525,2.235,-0.015
11599,2.544,2.161,-0.013
11600,2.568,2.068,-0.010
11601,2.596,1.959,-0.007
11602,2.624,1.849,-0.004
11603,2.689,1.597,0.004
11604,2.753,1.344,0.011
11605,2.851,0.961,0.022
11606,2.949,0.577,0.033
11607,3.023,0.289,0.042
11608,4.701,-0.217,0.071
11609,4.733,-0.341,0.068
11610,4.789,-0.557,0.064
11611,4.856,-0.820,0.058
11612,4.950,-1.184,0.051
11613,5.043,-1.549,0.043
11614,5.125,-1.867,0.036
11615,5.166,-2.026,0.033
11616,5.203,-2.171,0.030
11617,5.241,-2.317,0.027
11618,5.269,-2.428,0.025
11651,4.022,2.437,0.004
11652,4.046,2.344,0.007
11653,4.077,2.224,0.010
11654,4.107,2.104,0.014
11655,4.156,1.915,0.019
11656,4.204,1.725,0.025
11657,4.267,1.481,0.032
11658,4.360,1.118,0.043
11659,4.443,0.791,0.052
11660,4.527,0.465,0.062
11661,4.586,0.232,0.068
11662,6.237,-0.166,0.095
11663,6.280,-0.332,0.091
11664,6.324,-0.503,0.088
11665,6.397,-0.789,0.082
11666,6.473,-1.084,0.076
11667,6.548,-1.379,0.069
11668,6.614,-1.636,0.064
11669,6.680,-1.893,0.058
11670,6.715,-2.028,0.055
11671,6.749,-2.160,0.053
11672,6.776,-2.264,0.050
11673,6.802,-2.367,0.048
11674,6.823,-2.450,0.047
11711,5.563,2.465,0.027
11712,5.580,2.399,0.029
11713,5.601,2.317,0.032
11714,5.622,2.235,0.034
11715,5.641,2.161,0.036
11716,5.665,2.068,0.039
11717,5.693,1.959,0.042
11718,5.721,1.849,0.045
11719,5.786,1.597,0.052
11720,5.850,1.344,0.060
11721,5.948,0.961,0.071
11722,6.047,0.577,0.082
11723,6.120,0.289,0.090
11724,7.799,-0.217,0.117
11725,7.831,-0.341,0.114
11726,7.886,-0.556,0.110
11727,7.954,-0.820,0.104
11728,8.047,-1.184,0.096
11729,8.141,-1.549,0.089
11730,8.222,-1.867,0.082
11731,8.263,-2.026,0.079
11732,8.300,-2.171,0.075
11733,8.338,-2.317,0.072
11734,8.366,-2.427,0.070
11767,7.119,2.437,0.051
11768,7.143,2.344,0.054
11769,7.174,2.224,0.057
11770,7.204,2.104,0.061
11771,7.253,1.915,0.066
11772,7.301,1.725,0.072
11773,7.364,1.481,0.079
11774,7.457,1.118,0.089
11775,7.540,0.791,0.099
11776,7.624,0.465,0.108
11777,7.684,0.232,0.115
11778,9.345,-0.209,0.140
11779,9.376,-0.330,0.137
11780,9.423,-0.511,0.134
11781,9.493,-0.783,0.128
11782,9.569,-1.082,0.122
11783,9.646,-1.380,0.115
11784,9.712,-1.639,0.110
11785,9.779,-1.898,0.104
11786,9.812,-2.028,0.101
11787,9.847,-2.163,0.099
11788,9.878,-2.282,0.096
11789,9.900,-2.368,0.094
11790,9.921,-2.450,0.093
11827,8.661,2.465,0.073
11828,8.678,2.399,0.075
11829,8.698,2.317,0.078
11830,8.719,2.235,0.080
11831,8.738,2.161,0.082
11832,8.762,2.068,0.085
11833,8.790,1.959,0.088
11834,8.818,1.849,0.091
11835,8.883,1.597,0.098
11836,8.948,1.344,0.106
11837,9.046,0.961,0.117
11838,9.144,0.577,0.128
11839,9.218,0.289,0.136
11840,10.896,-0.217,0.161
11841,10.928,-0.341,0.159
11842,10.983,-0.556,0.154
11843,11.051,-0.820,0.148
11844,11.127,-1.116,0.142
11845,11.238,-1.549,0.133
11846,11.320,-1.867,0.126
11847,11.360,-2.026,0.122
11848,11.398,-2.171,0.119
11849,11.435,-2.317,0.116
11850,11.463,-2.428,0.114
11883,10.216,2.437,0.097
11884,10.240,2.344,0.099
11885,10.271,2.224,0.103
11886,10.301,2.104,0.106
11887,10.350,1.915,0.112
11888,10.399,1.725,0.117
11889,10.461,1.481,0.124
11890,10.554,1.118,0.134
11891,10.638,0.791,0.144
11892,10.721,0.465,0.153
11893,10.781,0.232,0.159
11894,12.443,-0.210,0.182
11895,12.474,-0.332,0.180
11896,12.521,-0.514,0.176
11897,12.591,-0.789,0.170
11898,12.667,-1.084,0.164
11899,12.743,-1.379,0.157
11900,12.809,-1.636,0.152
11901,12.875,-1.893,0.146
11902,12.908,-2.024,0.143
11903,12.943,-2.160,0.140
11904,12.974,-2.281,0.138
11905,12.996,-2.367,0.136
11906,13.018,-2.450,0.134
11943,11.758,2.465,0.117
11944,11.775,2.399,0.119
11945,11.796,2.317,0.121
11946,11.817,2.235,0.123
11947,11.835,2.161,0.125
11948,11.859,2.068,0.128
11949,11.887,1.959,0.131
11950,11.915,1.849,0.134
11951,11.980,1.597,0.141
11952,12.045,1.344,0.149
11953,12.143,0.961,0.160
11954,12.241,0.577,0.170
11955,12.315,0.289,0.179
11956,13.993,-0.217,0.203
11957,14.025,-0.341,0.200
11958,14.080,-0.557,0.196
11959,14.148,-0.820,0.190
11960,14.241,-1.184,0.182
11961,14.335,-1.549,0.174
11962,14.417,-1.867,0.168
11963,14.457,-2.026,0.164
11964,14.495,-2.171,0.161
11965,14.532,-2.317,0.158
11966,14.561,-2.428,0.155
11999,13.313,2.437,0.138
12000,13.337,2.344,0.141
12001,13.368,2.224,0.145
12002,13.399,2.104,0.148
12003,13.447,1.915,0.153
12004,13.496,1.725,0.159
12005,13.558,1.481,0.166
12006,13.651,1.118,0.176
12007,13.735,0.791,0.185
12008,13.818,0.465,0.195
12009,13.878,0.232,0.201
12010,15.540,-0.209,0.223
12011,15.571,-0.332,0.221
12012,15.618,-0.516,0.216
12013,15.688,-0.789,0.211
12014,15.764,-1.084,0.204
12015,15.840,-1.379,0.198
12016,15.906,-1.636,0.192
12017,15.972,-1.893,0.186
12018,16.006,-2.024,0.183
12019,16.040,-2.160,0.180
12020,16.071,-2.281,0.178
12021,16.094,-2.367,0.176
12022,16.115,-2.450,0.174
12059,14.855,2.465,0.159
12060,14.872,2.399,0.160
12061,14.886,2.342,0.162
12062,14.914,2.235,0.165
12063,14.938,2.141,0.168
12064,14.957,2.068,0.170
12065,14.984,1.959,0.173
12066,15.012,1.849,0.176
12067,15.063,1.652,0.181
12068,15.142,1.344,0.190
12069,15.240,0.961,0.201
12070,15.338,0.577,0.212
12071,15.412,0.289,0.220
12072,17.090,-0.217,0.242
12073,17.122,-0.341,0.239
12074,17.177,-0.556,0.234
12075,17.245,-0.820,0.229
12076,17.339,-1.184,0.221
12077,17.432,-1.549,0.213
12078,17.514,-1.867,0.206
12079,17.555,-2.026,0.202
12080,17.592,-2.171,0.199
12081,17.629,-2.317,0.196
12082,17.658,-2.427,0.193
12115,16.410,2.437,0.178
12116,16.434,2.344,0.181
12117,16.465,2.224,0.184
12118,16.496,2.104,0.187
12119,16.544,1.915,0.193
12120,16.593,1.725,0.198
12121,16.655,1.481,0.205
12122,16.748,1.118,0.215
12123,16.832,0.791,0.224
12124,16.916,0.465,0.233
12125,16.975,0.232,0.240
12126,18.637,-0.210,0.261
12127,18.668,-0.332,0.258
12128,18.715,-0.514,0.254
12129,18.786,-0.789,0.248
12130,18.861,-1.084,0.242
12131,18.937,-1.379,0.235
12132,19.003,-1.636,0.230
12133,19.069,-1.893,0.224
12134,19.103,-2.024,0.221
12135,19.138,-2.160,0.218
12136,19.169,-2.281,0.215
12137,19.191,-2.367,0.213
12138,19.212,-2.450,0.212
12175,17.952,2.465,0.196
12176,17.969,2.399,0.198
12177,17.990,2.317,0.200
12178,18.011,2.235,0.203
12179,18.030,2.161,0.205
12180,18.054,2.068,0.207
12181,18.082,1.959,0.210
12182,18.110,1.849,0.213
12183,18.174,1.597,0.220
12184,18.239,1.344,0.228
12185,18.337,0.961,0.238
12186,18.435,0.577,0.249
12187,18.509,0.289,0.257
12188,20.187,-0.216,0.279
12189,20.219,-0.341,0.276
12190,20.268,-0.530,0.272
12191,20.342,-0.820,0.265
12192,20.436,-1.184,0.257
12193,20.529,-1.549,0.249
12194,20.611,-1.867,0.242
12195,20.652,-2.026,0.239
12196,20.689,-2.171,0.235
12197,20.726,-2.317,0.232
12198,20.755,-2.428,0.230
12231,19.508,2.437,0.216
12232,19.532,2.344,0.219
